Entered file!
Imports done!
*** RUN *** 
chain_1cB
** Loading results csv
*** Analysing case 0
{'chain_gold_precision_source': 0.6666666666666666, 'chain_recall_target': 0.3333333333333333, 'chain_pegasus_precision_source': 0.8571428571428571, 'chain_precision_target': 0.14285714285714285, 'chain_f1_target': 0.2}
*** Analysing case 73
{'chain_gold_precision_source': 0.5789473684210527, 'chain_recall_target': 0.3157894736842105, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.8, 'chain_f1_target': 0.45283018867924535}
*** Analysing case 74
{'chain_gold_precision_source': 0.42857142857142855, 'chain_recall_target': 0.14285714285714285, 'chain_pegasus_precision_source': 0.9375, 'chain_precision_target': 0.0625, 'chain_f1_target': 0.08695652173913043}
*** Analysing case 75
{'chain_gold_precision_source': 0.5, 'chain_recall_target': 0.16666666666666666, 'chain_pegasus_precision_source': 0.9333333333333333, 'chain_precision_target': 0.06666666666666667, 'chain_f1_target': 0.09523809523809522}
*** Analysing case 76
{'chain_gold_precision_source': 0.3333333333333333, 'chain_recall_target': 0.0, 'chain_pegasus_precision_source': 0.8461538461538461, 'chain_precision_target': 0.0, 'chain_f1_target': 0}
*** Analysing case 77
{'chain_gold_precision_source': 1.0, 'chain_recall_target': 0.42857142857142855, 'chain_pegasus_precision_source': 0.5555555555555556, 'chain_precision_target': 0.4444444444444444, 'chain_f1_target': 0.43636363636363634}
*** Analysing case 78
{'chain_gold_precision_source': 0.5555555555555556, 'chain_recall_target': 0.4444444444444444, 'chain_pegasus_precision_source': 0.9, 'chain_precision_target': 0.4, 'chain_f1_target': 0.4210526315789474}
*** Analysing case 79
{'chain_gold_precision_source': 0.625, 'chain_recall_target': 0.625, 'chain_pegasus_precision_source': 0.9230769230769231, 'chain_precision_target': 0.46153846153846156, 'chain_f1_target': 0.5309734513274336}
*** Analysing case 80
{'chain_gold_precision_source': 0.375, 'chain_recall_target': 0.375, 'chain_pegasus_precision_source': 1.0, 'chain_precision_target': 0.3333333333333333, 'chain_f1_target': 0.35294117647058826}
*** Analysing case 81
